id,title,body_html,vendor,product_type,tags,status,created_at,updated_at,published_at,template_suffix,admin_graphql_api_id,variant_id,variant_title,variant_price,variant_sku,variant_barcode,variant_weight,variant_weight_unit,variant_inventory_quantity,variant_inventory_policy,variant_fulfillment_service
8158692213039,BOSO COFFEE Ⅱ 房総コーヒー２,"<p>「千葉・房総の名刺」となる本づくりのコンセプトをもとに活動しておられる「暮ラシカルデザイン編集室」さんのコーヒー特集です。</p>
<p>当店、並びにパートナー店舗様をご掲載頂いております。<br>詳細は<a href=""https://classicaldesign.jimdofree.com/books/boso-coffee-%E2%85%B1-%E6%88%BF%E7%B7%8F%E3%82%B3%E3%83%BC%E3%83%92%E3%83%BC%EF%BC%92/"">こちらのリンク</a>をご覧ください。</p>
<p>2021年6月20日発行<br>1500円（本体1364円＋税）<br>編集発行人：沼尻亙司<br>発行所：<a href=""https://classicaldesign.jimdofree.com/books/boso-coffee-%E2%85%B1-%E6%88%BF%E7%B7%8F%E3%82%B3%E3%83%BC%E3%83%92%E3%83%BC%EF%BC%92/"">暮ラシカルデザイン編集室</a><br>本文128p（本文オールカラー／表回りモノクロ）<br>A5版</p>",ボタリズムコーヒーロースター,book,goods,active,2023-03-08T11:12:41+09:00,2024-11-22T03:49:13+09:00,2023-03-08T11:12:41+09:00,,gid://shopify/Product/8158692213039,44639699108143,Default Title,1500,,,200.0,g,25,deny,manual
10522876117295,Botarhythm × Awan Kiln コラボレーションマグ,"<div class=""product-description-container"">
<h2>里山の記憶を注ぐ器 - ボタリズムコーヒーロースター × 志村和晃</h2>
<p>南房総の里山で育まれた感性と技術が融合したマグカップ。ボタリズムオリジナルマグを陶芸家 awan kiln <a href=""https://www.instagram.com/kazuakishimura/"">志村和晃</a>さんに形にしていただきました。</p>
<h3>2種類のオリジナルマグカップ</h3>
<h4>● White Sand Mug（ホワイトサンドマグ）</h4>
<p>白い砂浜を思わせる白地に青いデザインが映える定番サイズのマグカップ。<br>シンボルマークをエンボス加工でデザインし、Botarhythmの文字も刻まれています。<br>カップの中での温度変化とともに変遷するコーヒーの風味をご自宅でゆっくりとお楽しみいただけますよう容量はたっぷり目の約300mlです。（8分目で約240ml）</p>
<h4>● Deep Sea Mug（ディープシーマグ）</h4>
<p>表面全体が青のグラデーションに染まった小ぶりなマグカップ。<br>奥行きのある美しい色合いが特徴で、光の加減によって深海のような神秘的な表情を見せます。<br>コーヒーブレイクにちょうど良いサイズ感で、日常使いにぴったりです。容量は約220mlです。（8分目で約180ml）</p>
<div class=""craftsmanship-section"">
<h3>手仕事が生み出す、唯一無二の器</h3>
<p>志村さんは石川県の九谷焼の山地から取り寄せた特別な土を使用し、ロクロで形を整え、適度な乾燥後に削りを施し、一つひとつ丁寧に仕上げています。磁器ならではの透明感のある質感と、飲み口の縁の茶色い釉薬が温かみを添える、日常に寄り添う器です。</p>
<p>絵付けには「呉須（ごす）」というコバルトを主成分とした顔料を使用。1260度の高温で焼成された磁器は、給水性がなく、滑らかな口当たりで、コーヒーの繊細な香りや味わいをより鮮明に感じさせてくれます。</p>
<p>※一つ一つ手造りのため、形状や図柄・色調は全く同じものではありません。手仕事ならではの個性をお楽しみください。</p>
</div>
<div class=""philosophy-section"">
<h3>「格別のコーヒー豆で一杯のひと時をより豊かに」</h3>
<p>ボタリズムは、コーヒーが「言葉を超えたつながり」を生み出す存在であると考えています。朝の光を受けながらの一杯、大切な人との会話を彩る一杯、静かな夜の読書のお供の一杯—それぞれの瞬間に、このマグカップが特別な温もりを添えてくれることでしょう。</p>
<p>南房総の里山での暮らしの中で育まれた、志村さんとボタリズムのコラボレーション。日常の何気ない時間をより豊かにする、特別な一品です。</p>
</div>
<div class=""specs-section"">
<h3>仕様</h3>
<ul>
<li>
<strong>製作</strong>: 志村和晃（awan kiln）</li>
<li>
<strong>素材</strong>: 磁器</li>
<li>
<strong>焼成</strong>: 1260度</li>
<li>
<strong>容量</strong>: <br>・White Sand Mug / ホワイトサンドマグ: 約300ml（8分目で約260ml） <br>・Deep Sea Mug / ディープシーマグ: 約200ml（8分目で約160ml）</li>
<li>
<strong>洗浄</strong>: 食洗機・電子レンジ使用可</li>
</ul>
</div>
<div class=""artist-section"">
<h3>作家プロフィール</h3>
<p><strong>志村和晃（しむら かずあき）</strong><br>1979年、千葉県館山市生まれ。京都や石川県での修行を経て、現在は南房総市に「awan kiln」と名付けた工房を構える陶芸家。「古き良きものに学びながら、現代の生活に合う温もりのあるうつわ作り」を信条とし、素朴な白地に呉須の青色で描いた絵や、染付の磁器など多彩な技法を駆使した作品を制作しています。</p>
<p>「日々の食卓が少しでも華やぐような、料理を引き立てるうつわを作っています。そこに会話が生まれ楽しい食卓が広がって行くことを願っています」</p>
<p>Instagram: <a href=""https://www.instagram.com/kazuakishimura/"">@kazuakishimura</a></p>
</div>
<div class=""note-section"">
<p class=""note"">※数量限定での販売となります。<br>※送料無料キャンペーン対象外です。</p>
<p class=""note"">※ブログ記事「<a rel=""noopener"" href=""https://botarhythm.com/blogs/journal/awan-kiln-botarhythm"" target=""_blank"">Awan Kiln × Botarhythm collaboration mug</a>」もぜひご覧ください。</p>
</div>
</div>",ボタリズムコーヒーロースター,mug,"goods, mug",active,2025-03-11T16:50:38+09:00,2025-07-31T12:21:29+09:00,2025-03-12T09:38:20+09:00,,gid://shopify/Product/10522876117295,51096323817775,White Sand Mug,4180,0-1,,300.0,g,2,deny,manual
10522876117295,Botarhythm × Awan Kiln コラボレーションマグ,"<div class=""product-description-container"">
<h2>里山の記憶を注ぐ器 - ボタリズムコーヒーロースター × 志村和晃</h2>
<p>南房総の里山で育まれた感性と技術が融合したマグカップ。ボタリズムオリジナルマグを陶芸家 awan kiln <a href=""https://www.instagram.com/kazuakishimura/"">志村和晃</a>さんに形にしていただきました。</p>
<h3>2種類のオリジナルマグカップ</h3>
<h4>● White Sand Mug（ホワイトサンドマグ）</h4>
<p>白い砂浜を思わせる白地に青いデザインが映える定番サイズのマグカップ。<br>シンボルマークをエンボス加工でデザインし、Botarhythmの文字も刻まれています。<br>カップの中での温度変化とともに変遷するコーヒーの風味をご自宅でゆっくりとお楽しみいただけますよう容量はたっぷり目の約300mlです。（8分目で約240ml）</p>
<h4>● Deep Sea Mug（ディープシーマグ）</h4>
<p>表面全体が青のグラデーションに染まった小ぶりなマグカップ。<br>奥行きのある美しい色合いが特徴で、光の加減によって深海のような神秘的な表情を見せます。<br>コーヒーブレイクにちょうど良いサイズ感で、日常使いにぴったりです。容量は約220mlです。（8分目で約180ml）</p>
<div class=""craftsmanship-section"">
<h3>手仕事が生み出す、唯一無二の器</h3>
<p>志村さんは石川県の九谷焼の山地から取り寄せた特別な土を使用し、ロクロで形を整え、適度な乾燥後に削りを施し、一つひとつ丁寧に仕上げています。磁器ならではの透明感のある質感と、飲み口の縁の茶色い釉薬が温かみを添える、日常に寄り添う器です。</p>
<p>絵付けには「呉須（ごす）」というコバルトを主成分とした顔料を使用。1260度の高温で焼成された磁器は、給水性がなく、滑らかな口当たりで、コーヒーの繊細な香りや味わいをより鮮明に感じさせてくれます。</p>
<p>※一つ一つ手造りのため、形状や図柄・色調は全く同じものではありません。手仕事ならではの個性をお楽しみください。</p>
</div>
<div class=""philosophy-section"">
<h3>「格別のコーヒー豆で一杯のひと時をより豊かに」</h3>
<p>ボタリズムは、コーヒーが「言葉を超えたつながり」を生み出す存在であると考えています。朝の光を受けながらの一杯、大切な人との会話を彩る一杯、静かな夜の読書のお供の一杯—それぞれの瞬間に、このマグカップが特別な温もりを添えてくれることでしょう。</p>
<p>南房総の里山での暮らしの中で育まれた、志村さんとボタリズムのコラボレーション。日常の何気ない時間をより豊かにする、特別な一品です。</p>
</div>
<div class=""specs-section"">
<h3>仕様</h3>
<ul>
<li>
<strong>製作</strong>: 志村和晃（awan kiln）</li>
<li>
<strong>素材</strong>: 磁器</li>
<li>
<strong>焼成</strong>: 1260度</li>
<li>
<strong>容量</strong>: <br>・White Sand Mug / ホワイトサンドマグ: 約300ml（8分目で約260ml） <br>・Deep Sea Mug / ディープシーマグ: 約200ml（8分目で約160ml）</li>
<li>
<strong>洗浄</strong>: 食洗機・電子レンジ使用可</li>
</ul>
</div>
<div class=""artist-section"">
<h3>作家プロフィール</h3>
<p><strong>志村和晃（しむら かずあき）</strong><br>1979年、千葉県館山市生まれ。京都や石川県での修行を経て、現在は南房総市に「awan kiln」と名付けた工房を構える陶芸家。「古き良きものに学びながら、現代の生活に合う温もりのあるうつわ作り」を信条とし、素朴な白地に呉須の青色で描いた絵や、染付の磁器など多彩な技法を駆使した作品を制作しています。</p>
<p>「日々の食卓が少しでも華やぐような、料理を引き立てるうつわを作っています。そこに会話が生まれ楽しい食卓が広がって行くことを願っています」</p>
<p>Instagram: <a href=""https://www.instagram.com/kazuakishimura/"">@kazuakishimura</a></p>
</div>
<div class=""note-section"">
<p class=""note"">※数量限定での販売となります。<br>※送料無料キャンペーン対象外です。</p>
<p class=""note"">※ブログ記事「<a rel=""noopener"" href=""https://botarhythm.com/blogs/journal/awan-kiln-botarhythm"" target=""_blank"">Awan Kiln × Botarhythm collaboration mug</a>」もぜひご覧ください。</p>
</div>
</div>",ボタリズムコーヒーロースター,mug,"goods, mug",active,2025-03-11T16:50:38+09:00,2025-07-31T12:21:29+09:00,2025-03-12T09:38:20+09:00,,gid://shopify/Product/10522876117295,51096323850543,Deep Sea Mug,4180,0-2,,300.0,g,8,deny,manual
8156846358831,Botarhythm オリジナルステッカー,"<p>ボタリズムオリジナルステッカー</p>
<p>耐候性のある強粘着素材です。</p>
<p>【Stand】W65mm*H72mm<br>【Horizon】W190mm*H43mm</p>",ボタリズムコーヒーロースター,sticker,"goods, sticker",active,2023-03-07T16:41:37+09:00,2024-11-21T03:18:07+09:00,2023-03-07T16:48:11+09:00,,gid://shopify/Product/8156846358831,44633908150575,Vertical,550,,,300.0,g,20,deny,manual
8156846358831,Botarhythm オリジナルステッカー,"<p>ボタリズムオリジナルステッカー</p>
<p>耐候性のある強粘着素材です。</p>
<p>【Stand】W65mm*H72mm<br>【Horizon】W190mm*H43mm</p>",ボタリズムコーヒーロースター,sticker,"goods, sticker",active,2023-03-07T16:41:37+09:00,2024-11-21T03:18:07+09:00,2023-03-07T16:48:11+09:00,,gid://shopify/Product/8156846358831,44633908183343,Horizon,550,,,300.0,g,20,deny,manual
8147752616239,Botarhythm オリジナルマグ by AWAN KILN,"<p>Botarhythm オリジナルマグを<br>陶芸家 awan kiln<span> </span><a href=""https://www.instagram.com/kazuakishimura/"">志村和晃</a>さんに形にして頂きました。</p>
<p>シンボルマークをエンボス加工でデザイン。<br>カップの中での温度変化とともに変遷する<br>コーヒーの風味をご自宅でゆっくりと<br>お楽しみいただけますよう容量は<br>たっぷり目の約300mlです。（8分目で約240ml）</p>
<p>※一つ一つ手造りのため、形状や図柄・色調は全く同じものではありません。</p>",ボタリズムコーヒーロースター,mug,"goods, mug, out-of-stock-police",active,2023-03-03T12:47:50+09:00,2025-05-27T09:06:53+09:00,2023-03-03T12:47:50+09:00,,gid://shopify/Product/8147752616239,44603331543343,Default Title,3800,0,,300.0,g,0,deny,manual
8157092544815,HARIO KA-KU COFFEE BOTTLE 水出しコーヒーボトル,"<p>角型形状の水出しコーヒーボトル。</p>
<p>コーヒー粉と水だけでアイスコーヒーが抽出できます。</p>
<p>ストレーナーに85gのコーヒー粉を入れ、注ぎ口にセットしたら少量ずつ浄水を注ぎます。<br>1,100mlの水を注ぎ終えたらキャップをして、ボトルをゆっくり左右に振って抽出を促します。冷蔵庫で8時間抽出してできあがりです。</p>
<p>水出しコーヒーは保存性が良く、できあがりから３日間程度は風味を損なうことなくお楽しみいただけます。<br>また、コーヒー豆以外にも、紅茶や緑茶などのコールドブリューが可能です。</p>
<p>角型なので横置き保存も可能です。</p>
<p>出来上がり容量：1,000ml</p>",ボタリズムコーヒーロースター,Equipments,"equipments, hairo",active,2023-03-07T21:11:20+09:00,2025-07-31T00:40:31+09:00,2023-03-07T21:11:20+09:00,,gid://shopify/Product/8157092544815,44635019378991,Default Title,3150,,,1000.0,g,6,deny,manual
8157100409135,HARIO V60 レンジサーバー,"<p>オール耐熱ガラス製のサーバーです。</p>
<p>01シリーズ（1～2杯用）360ml<br>02シリーズ（1～4杯用）600ml</p>
<p>・ポット・フタとともに耐熱ガラス製のサーバーです。<br>・フタにはシリコンパッキン付きの安心設計です。<br>・V60シリーズのサーバーとして、フタの上にV60ドリッパー(VD-01、02、03)がのせられるデザイン。<br>・フタをしたまま電子レンジOK。</p>",ボタリズムコーヒーロースター,Equipments,"equipments, hario",active,2023-03-07T21:22:18+09:00,2024-11-20T08:45:53+09:00,2023-03-07T21:24:31+09:00,,gid://shopify/Product/8157100409135,44635049001263,01シリーズ（1-2杯用）,2100,,,1000.0,g,5,continue,manual
8157100409135,HARIO V60 レンジサーバー,"<p>オール耐熱ガラス製のサーバーです。</p>
<p>01シリーズ（1～2杯用）360ml<br>02シリーズ（1～4杯用）600ml</p>
<p>・ポット・フタとともに耐熱ガラス製のサーバーです。<br>・フタにはシリコンパッキン付きの安心設計です。<br>・V60シリーズのサーバーとして、フタの上にV60ドリッパー(VD-01、02、03)がのせられるデザイン。<br>・フタをしたまま電子レンジOK。</p>",ボタリズムコーヒーロースター,Equipments,"equipments, hario",active,2023-03-07T21:22:18+09:00,2024-11-20T08:45:53+09:00,2023-03-07T21:24:31+09:00,,gid://shopify/Product/8157100409135,44635049034031,02シリーズ（1-4杯用）,2300,,,1000.0,g,4,continue,manual
8157096935727,HARIO V60 透過ドリッパー セラミックホワイト,"<p>バリスタのスタンダード<br>お湯の速度で「味」が変えられる、V60透過ドリッパーです。</p>
<p>01シリーズ（1～2杯用）360ml<br>02シリーズ（1～4杯用）600ml</p>
<p>・ネルドリップの美味しさとペーパードリップの手軽さを両立<br>・珈琲粉の層が深くなる「円すい形」が、しっかり旨みを抽出します。<br>・素早く注げばスッキリ味、ゆっくり注げばコク深い味。大きなひとつ穴なので、注湯の速度で味が変えられます。<br>・珈琲粉の膨らみを妨げない、スパイラルリブ採用。<br>・1〜4杯用(一杯120ml)・V60計量スプーン付き。</p>",ボタリズムコーヒーロースター,Equipments,"equipments, hario",active,2023-03-07T21:17:05+09:00,2024-11-20T07:24:20+09:00,2023-03-07T21:21:06+09:00,,gid://shopify/Product/8157096935727,44635044151599,01シリーズ（1-2杯用）,2000,,,1000.0,g,5,continue,manual
